id,name,publisher,type,discipline,country,notes
genome-biology,Genome Biology,Springer Nature (BMC),journal,genomics,United Kingdom,"Open-access peer-reviewed genomics journal (BioMed Central / Springer Nature)"
aging-journal,Aging,Impact Journals,journal,gerontology,United States,"Open-access peer-reviewed gerontology journal (Impact Journals, Orchard Park NY); publishes the widely used PhenoAge and GrimAge epigenetic-clock papers"
elife,eLife,eLife Sciences Publications,megajournal,multidisciplinary,United Kingdom,"Open-access peer-reviewed biomedical/life-sciences journal, nonprofit publisher based in Cambridge UK"
eclinicalmedicine,eClinicalMedicine,Elsevier (The Lancet Discovery Science),journal,general-medicine,United Kingdom,"Fully open-access clinical journal in The Lancet family; editorial base in London, publisher Elsevier"
afar-tame,American Federation for Aging Research — TAME Trial page,American Federation for Aging Research,institution,gerontology,United States,"US nonprofit research-funding organization; official status page for the Targeting Aging with Metformin (TAME) trial it coordinates"
biogerontology,Biogerontology,Springer Nature,journal,gerontology,United Kingdom,"Peer-reviewed specialist gerontology journal, Springer Nature; open-access status of this specific article unconfirmed"
british-journal-clinical-pharmacology,British Journal of Clinical Pharmacology,Wiley,journal,pharmacology,United States,"Peer-reviewed clinical pharmacology journal published by Wiley on behalf of the British Pharmacological Society"
journal-nutrition-health-aging,"The Journal of Nutrition, Health & Aging",Elsevier,journal,gerontology,France,"Peer-reviewed gerontology/nutrition journal; transitioned from Springer to Elsevier (Paris) and became fully open access in 2024"
journals-gerontology-series-a,The Journals of Gerontology: Series A,Oxford University Press,journal,gerontology,United Kingdom,"Peer-reviewed gerontology journal published by OUP on behalf of the (US-based) Gerontological Society of America"
science,Science,American Association for the Advancement of Science (AAAS),journal,multidisciplinary,United States,"Flagship peer-reviewed multidisciplinary journal published by AAAS; mostly paywalled (sister publication to open-access Science Advances)"
annual-review-environment-resources,Annual Review of Environment and Resources,Annual Reviews,journal,ecology,United States,"Peer-reviewed commissioned-review journal on environment/natural-resource topics; Annual Reviews is a US nonprofit publisher (same publisher as annual-review-marine-science); subscription-access"
global-ecology-and-conservation,Global Ecology and Conservation,Elsevier,journal,ecology,Netherlands,"Fully open-access peer-reviewed ecology/conservation journal; Elsevier is headquartered in Amsterdam"
biological-conservation,Biological Conservation,Elsevier,journal,ecology,Netherlands,"Leading peer-reviewed conservation-science journal; Elsevier is headquartered in Amsterdam; open-access status of this specific article unconfirmed"
ecological-solutions-and-evidence,Ecological Solutions and Evidence,Wiley (British Ecological Society),journal,ecology,United Kingdom,"Fully open-access peer-reviewed journal of the British Ecological Society, published by Wiley; BES is headquartered in London"
conservation-letters,Conservation Letters,Wiley (Society for Conservation Biology),journal,ecology,United States,"Fully open-access peer-reviewed journal of the Society for Conservation Biology, published by Wiley; SCB is a US-based nonprofit"
people-and-nature,People and Nature,Wiley (British Ecological Society),journal,ecology,United Kingdom,"Fully open-access peer-reviewed interdisciplinary journal of the British Ecological Society, published by Wiley; BES is headquartered in London"
trends-in-ecology-evolution,Trends in Ecology & Evolution,Elsevier (Cell Press),journal,ecology,United States,"Peer-reviewed monthly review/opinion journal in ecology and evolution; Cell Press editorial base in Cambridge MA"
ambio,Ambio,Springer Nature,journal,environmental-science,to-verify,"Peer-reviewed journal of the human environment published on behalf of the Royal Swedish Academy of Sciences (Sweden); publisher-of-record Springer Nature has UK/Germany HQ, so country is ambiguous between publisher and society"
ecography,Ecography,Wiley (Nordic Society Oikos),journal,ecology,Sweden,"Fully gold open-access peer-reviewed ecology journal owned by the Nordic Society Oikos (Lund, Sweden), published with Wiley"
conservation-science-practice,Conservation Science and Practice,Wiley (Society for Conservation Biology),journal,ecology,United States,"Fully open-access peer-reviewed journal of the Society for Conservation Biology, published by Wiley; SCB is a US-based nonprofit (same publisher/society family as conservation-letters)"
frontiers-ecology-environment,Frontiers in Ecology and the Environment,Wiley (Ecological Society of America),journal,ecology,United States,"Peer-reviewed journal of the Ecological Society of America, published by Wiley; ESA is US-based; open-access status of this specific article unconfirmed"
bioscience,BioScience,Oxford University Press,journal,multidisciplinary,United Kingdom,"General peer-reviewed biology journal published by OUP for the American Institute of Biological Sciences (AIBS, US); this specific article is open access via PMC"
iucn,International Union for Conservation of Nature,IUCN,institution,ecology,Switzerland,"Intergovernmental/NGO hybrid conservation body headquartered in Gland, Switzerland; sets widely used technical standards (Red List, and as of 2025 Guidelines for Rewilding) via its expert Commissions"
cambridge-prisms-extinction,Cambridge Prisms: Extinction,Cambridge University Press,journal,ecology,United Kingdom,"Peer-reviewed, fully open-access interdisciplinary journal on extinction and conservation, launched 2023; Cambridge University Press is headquartered in Cambridge, UK"
european-journal-social-psychology,European Journal of Social Psychology,Wiley,journal,social-psychology,to-verify,"Peer-reviewed social-psychology journal published by Wiley on behalf of the European Association of Social Psychology; society HQ/country not confirmed"
frontiers-in-psychology,Frontiers in Psychology,Frontiers,journal,psychology,Switzerland,"Open-access peer-reviewed psychology journal (Frontiers Media, headquartered in Lausanne)"
pnas-nexus,PNAS Nexus,Oxford University Press,megajournal,multidisciplinary,United Kingdom,"Fully open-access multidisciplinary journal affiliated with the US National Academy of Sciences, published by Oxford University Press"
perspectives-psychological-science,Perspectives on Psychological Science,SAGE Publishing,journal,psychology,United States,"Peer-reviewed review journal of the Association for Psychological Science; SAGE is headquartered in Thousand Oaks, California"
frontiers-in-social-psychology,Frontiers in Social Psychology,Frontiers,journal,social-psychology,Switzerland,"Open-access peer-reviewed social-psychology journal (Frontiers Media, headquartered in Lausanne)"
current-opinion-in-psychology,Current Opinion in Psychology,Elsevier,journal,psychology,Netherlands,"Peer-reviewed journal of commissioned expert reviews; Elsevier is headquartered in Amsterdam"
british-journal-of-social-psychology,British Journal of Social Psychology,Wiley (British Psychological Society),journal,social-psychology,United Kingdom,"Peer-reviewed journal of the British Psychological Society, published by Wiley; BPS is headquartered in Leicester, UK"
heliyon,Heliyon,Elsevier (Cell Press),megajournal,multidisciplinary,United States,"Fully open-access multidisciplinary megajournal, part of the Cell Press family since 2022"
bmc-public-health,BMC Public Health,Springer Nature (BioMed Central),journal,public-health,United Kingdom,"Peer-reviewed fully open-access public-health journal (BioMed Central / Springer Nature)"
terrorism-and-political-violence,Terrorism and Political Violence,Taylor & Francis (Routledge),journal,criminology,United Kingdom,"Peer-reviewed specialist journal on terrorism/political violence; Taylor & Francis HQ Milton Park, Oxfordshire (part of Informa plc); this specific article accessed via institutional repository open copy"
political-psychology,Political Psychology,Wiley (International Society of Political Psychology),journal,political-psychology,United States,"Peer-reviewed flagship journal of the International Society of Political Psychology (Central Office, Albany NY), published by Wiley; this specific article is open access (CC-BY)"
public-opinion-quarterly,Public Opinion Quarterly,Oxford University Press,journal,political-science,United Kingdom,"Peer-reviewed public-opinion research journal published by Oxford University Press; open-access status of this specific article unconfirmed"
social-psychological-personality-science,Social Psychological and Personality Science,SAGE Publishing,journal,social-psychology,United States,"Peer-reviewed social/personality psychology journal, SAGE Publishing (Thousand Oaks, California)"
psyarxiv,PsyArXiv,Center for Open Science,preprint-server,psychology,United States,"Not peer reviewed. Preprint server for psychological science, hosted by the nonprofit Center for Open Science (Charlottesville, Virginia)"
plos-one,PLOS ONE,Public Library of Science (PLOS),megajournal,multidisciplinary,United States,"Fully open-access peer-reviewed multidisciplinary megajournal; PLOS is a nonprofit publisher headquartered in San Francisco"
humanities-social-sciences-communications,Humanities and Social Sciences Communications,Springer Nature,journal,social-psychology,United Kingdom,"Fully open-access Nature Portfolio journal for humanities/social sciences (formerly Palgrave Communications)"
psychonomic-bulletin-review,Psychonomic Bulletin & Review,Springer Nature,journal,psychology,United States,"Peer-reviewed journal of the Psychonomic Society (US-based society); this specific article freely readable via PMC"
psychological-bulletin,Psychological Bulletin,American Psychological Association,journal,psychology,United States,"Flagship peer-reviewed synthesis/meta-analysis journal of the American Psychological Association; this specific article accessed via institutional repository open copy"
nature-reviews-psychology,Nature Reviews Psychology,Springer Nature,journal,psychology,United Kingdom,"Peer-reviewed invited-review journal, Nature Portfolio; this specific article accessed via institutional repository open copy"
nature-astronomy,Nature Astronomy,Springer Nature,journal,astronomy,United Kingdom,"Peer-reviewed specialist astronomy/astrophysics journal, Nature Portfolio; open-access status of this specific article unconfirmed"
nasa-science-exoplanets,NASA Science — Exoplanet Exploration Program,National Aeronautics and Space Administration,institution,astronomy,United States,"Official NASA Science public-outreach pages for the Exoplanet Exploration Program"
esa-science,European Space Agency — Science,European Space Agency,institution,astronomy,France,"Official ESA public science pages; ESA headquarters is in Paris"
astronomical-journal,The Astronomical Journal,American Astronomical Society (IOP Publishing),journal,astronomy,United States,"Peer-reviewed AAS flagship journal, published in partnership with IOP Publishing; all AAS journal content has been fully open access since January 2022"
living-reviews-computational-astrophysics,Living Reviews in Computational Astrophysics,Springer Nature,journal,astronomy,United Kingdom,"Diamond open-access invited-review journal in the Living Reviews family; editorial roots at the Max Planck Institute, now published by Springer Nature"
astronomy-astrophysics,Astronomy & Astrophysics,EDP Sciences,journal,astronomy,France,"Peer-reviewed European astronomy/astrophysics journal, fully open access since 2024, published by EDP Sciences (Les Ulis, France) on behalf of the founding academies"
astrophysical-journal-letters,The Astrophysical Journal Letters,American Astronomical Society (IOP Publishing),journal,astronomy,United States,"Peer-reviewed AAS rapid-communication journal (sister to The Astrophysical Journal), published in partnership with IOP Publishing; all AAS journal content has been fully open access since January 2022"
astrobiology-journal,Astrobiology,SAGE Publishing (Mary Ann Liebert),journal,astrobiology,United States,"Peer-reviewed astrobiology journal, historically published by Mary Ann Liebert Inc. (New Rochelle, NY), now part of SAGE Publishing; hybrid open access, this specific article's open-access status is unconfirmed"
nature-reviews-physics,Nature Reviews Physics,Springer Nature,journal,physics,United Kingdom,"Peer-reviewed invited-review/technical-review journal, Nature Portfolio; subscription-access, no gold open-access option for this article type"
mnras,Monthly Notices of the Royal Astronomical Society,Oxford University Press (Royal Astronomical Society),journal,astronomy,United Kingdom,"Peer-reviewed flagship journal of the Royal Astronomical Society, published by Oxford University Press; hybrid open access, this specific article's open-access status unconfirmed"
nasa-science-hwo,NASA Science — Habitable Worlds Observatory Program,National Aeronautics and Space Administration,institution,astronomy,United States,"Official NASA Science program page for the Habitable Worlds Observatory flagship mission concept"
national-academies-press,"National Academies Press (National Academies of Sciences, Engineering, and Medicine)",National Academies of Sciences Engineering and Medicine,institution,multidisciplinary,United States,"Reports of the US National Academies; freely readable online. Cited here for the Committee on Astrobiology and Planetary Sciences independent review of biosignature standards of evidence, for the 2020 astronomy/astrophysics decadal survey, and for the 2024 Long-Term Health Effects of COVID-19 consensus report"
who-post-covid-factsheet,Post COVID-19 condition (long COVID) — WHO Fact Sheet,World Health Organization,institution,public-health,Switzerland,"Official WHO fact sheet giving the international Delphi-consensus clinical case definition of post COVID-19 condition; WHO headquartered in Geneva"
cdc-long-covid,Long COVID (CDC guidance pages),Centers for Disease Control and Prevention,institution,public-health,United States,"US federal public-health agency; official Long COVID guidance pages and Household Pulse Survey prevalence data"
nature-reviews-microbiology,Nature Reviews Microbiology,Springer Nature,journal,microbiology,United Kingdom,"Peer-reviewed invited-review journal, Nature Portfolio; this specific article (Davis et al. 2023) is freely readable via PMC"
infectious-diseases-immunity,Infectious Diseases & Immunity,Wolters Kluwer Health (Lippincott Williams & Wilkins),journal,infectious-disease,United States,"Peer-reviewed fully open-access (CC BY-NC-ND) journal sponsored by the Chinese Medical Association, published by Wolters Kluwer Health; indexed in PubMed/PMC"
jaci,Journal of Allergy and Clinical Immunology,Elsevier,journal,immunology,Netherlands,"Peer-reviewed flagship journal of the American Academy of Allergy, Asthma & Immunology (AAAAI, US-based society); Elsevier is headquartered in Amsterdam; this specific article is open access"
ijms,International Journal of Molecular Sciences,MDPI,journal,molecular-biology,Switzerland,"Open-access peer-reviewed multidisciplinary molecular/life-sciences journal; MDPI is headquartered in Basel, Switzerland"
psychiatry-clinical-neurosciences,Psychiatry and Clinical Neurosciences,Wiley,journal,neurology,Japan,"Peer-reviewed flagship journal of the Japanese Society of Psychiatry and Neurology, published by Wiley; this specific article is open access"
frontiers-cellular-infection-microbiology,Frontiers in Cellular and Infection Microbiology,Frontiers,journal,microbiology,Switzerland,"Open-access peer-reviewed journal (Frontiers Media, headquartered in Lausanne)"
brain-communications,Brain Communications,Oxford University Press,journal,neurology,United Kingdom,"Peer-reviewed fully open-access neurology journal published by Oxford University Press on behalf of the Guarantors of Brain"
annals-internal-medicine,Annals of Internal Medicine,American College of Physicians,journal,general-medicine,United States,"Flagship peer-reviewed general-medicine journal of the American College of Physicians (Philadelphia, PA); the RECOVER cohort study cited here is open access via PMC under NIH policy, the accompanying editorial's open-access status is unconfirmed"
molecular-diagnosis-therapy,Molecular Diagnosis & Therapy,Springer Nature (Adis),journal,general-medicine,to-verify,"Peer-reviewed diagnostics/therapeutics journal in Springer Nature's Adis portfolio, indexed in PubMed/MEDLINE; publisher HQ ambiguous (Adis journals historically edited from New Zealand/Australia, now Springer Nature UK); open-access status of this specific article unconfirmed"
healthcare-mdpi,Healthcare,MDPI,journal,general-medicine,Switzerland,"Open-access peer-reviewed multidisciplinary health-sciences journal; MDPI is headquartered in Basel, Switzerland"
brain-behavior-immunity-integrative,"Brain, Behavior, and Immunity — Integrative",Elsevier,journal,psychoneuroimmunology,Netherlands,"Fully open-access companion journal to Brain, Behavior, and Immunity, published by Elsevier on behalf of the Psychoneuroimmunology Research Society (PNIRS)"
nice-guidance,NICE Guidance (National Institute for Health and Care Excellence),National Institute for Health and Care Excellence,institution,public-health,United Kingdom,"UK statutory body producing evidence-based clinical guidelines (e.g. NG188 on long COVID, NG206 on ME/CFS); NICE is headquartered in London/Manchester"
lancet-infectious-diseases,The Lancet Infectious Diseases,Elsevier (The Lancet),journal,infectious-disease,United Kingdom,"Peer-reviewed flagship infectious-disease journal in The Lancet family; editorial base in London, publisher Elsevier; hybrid open access, mostly paywalled"
archives-physical-medicine-rehabilitation,Archives of Physical Medicine and Rehabilitation,Elsevier,journal,rehabilitation-medicine,Netherlands,"Peer-reviewed flagship rehabilitation-medicine journal, official journal of the American Congress of Rehabilitation Medicine; Elsevier is headquartered in Amsterdam"
npj-primary-care-respiratory-medicine,npj Primary Care Respiratory Medicine,Springer Nature,journal,general-medicine,United Kingdom,"Fully open-access Nature Portfolio journal on primary-care respiratory medicine"
recover-covid-initiative,RECOVER COVID Initiative (National Institutes of Health),National Institutes of Health,institution,general-medicine,United States,"Official public-information site of RECOVER, the NIH-funded national long COVID research initiative"
emerging-infectious-diseases,Emerging Infectious Diseases,Centers for Disease Control and Prevention,journal,infectious-disease,United States,"Peer-reviewed, fully open-access journal published by the US CDC (Atlanta); indexed in PubMed/PMC"
unep,United Nations Environment Programme,United Nations Environment Programme,institution,climate,Kenya,"UN specialized programme headquartered in Nairobi; commissions independent expert reviews such as the 2023 One Atmosphere report on solar radiation modification"
environmental-science-atmospheres,Environmental Science: Atmospheres,Royal Society of Chemistry,journal,climate,United Kingdom,"Fully open-access (CC BY-NC) peer-reviewed journal of the Royal Society of Chemistry, launched 2021; RSC is headquartered in Cambridge/London, UK"
usgs-volcano-watch,Volcano Watch (US Geological Survey, Hawaiian Volcano Observatory),United States Geological Survey,institution,geology,United States,"Weekly public-outreach column written by USGS Hawaiian Volcano Observatory scientists; US federal agency, public domain"
noaa-csl-news,NOAA Chemical Sciences Laboratory — News & Events,National Oceanic and Atmospheric Administration,institution,climate,United States,"US federal atmospheric-science laboratory (Boulder, CO); news releases summarize NOAA/CIRES peer-reviewed research"
atmospheric-chemistry-and-physics,Atmospheric Chemistry and Physics,Copernicus Publications,journal,climate,Germany,"Fully open-access peer-reviewed journal of the European Geosciences Union, published by Copernicus Publications (Göttingen, Germany)"
environmental-research-letters,Environmental Research Letters,IOP Publishing,journal,climate,United Kingdom,"Fully open-access peer-reviewed environmental-science journal published by IOP Publishing (Bristol, UK)"
wmo,World Meteorological Organization — Scientific Assessment of Ozone Depletion,World Meteorological Organization,institution,climate,Switzerland,"UN specialized agency (WMO, Geneva) that co-produces, with UNEP, NASA and NOAA, the quadrennial ozone assessment mandated by the Montreal Protocol's Scientific Assessment Panel"
npj-climate-atmospheric-science,npj Climate and Atmospheric Science,Springer Nature,journal,climate,United Kingdom,"Open-access Nature Portfolio journal on climate and atmospheric science"
nature-news,Nature News,Springer Nature,news-perspective,multidisciplinary,United Kingdom,"News section of Nature (distinct from its peer-reviewed research pages), written by Nature's science journalists"
epa-us,US Environmental Protection Agency,US Environmental Protection Agency,institution,environmental-policy,United States,"US federal environmental regulator; official notices and enforcement actions under the Clean Air Act"
